Municipio,M1_V,M1_a,M1_r,M1_ndR,M1_nd,M1_nm,M2_v,M2_a,M2_r,M2_ndR,M2_nd,M2_nm,M3_v,M3_a,M3_r,M3_ndR,M3_nd,M3_nm,M4_v,M4_a,M4_r,M4_ndR,M4_nd,M4_nm,M5_v,M5_a,M5_r,M5_ndR,M5_nd,M5_nm,M6_v,M6_a,M6_r,M6_ndR,M6_nd,M6_nm,M7_v,M7_a,M7_r,M7_ndR,M7_nd,M7_nm,M8_v,M8_a,M8_r,ndR,M8_nd,M8_nm,T_v,T_a,T_r,T_ndR,T_nd,T_nm
Metztitlán,13.00,2.00,2.00,0.00,0.00,0.00,11.00,1.00,5.00,0.00,0.00,2.00,4.00,3.00,7.00,0.00,0.00,3.00,5.00,10.00,2.00,0.00,1.00,0.00,0.00,3.00,6.00,0.00,1.00,0.00,15.00,1.00,0.00,0.00,0.00,0.00,3.00,1.00,5.00,0.00,1.00,0.00,7.00,0.00,1.00,0.00,0.00,0.00,58.00,21.00,28.00,0.00,3.00,5.00
Mineral de la Reforma,17.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1.00,0.00,0.00,3.00,12.00,0.00,1.00,0.00,0.00,4.00,13.00,1.00,0.00,0.00,0.00,4.00,8.00,1.00,0.00,0.00,0.00,1.00,16.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,99.00,2.00,2.00,0.00,0.00,12.00
Mineral del Chico,6.00,4.00,6.00,1.00,0.00,0.00,9.00,1.00,6.00,1.00,0.00,2.00,3.00,1.00,12.00,0.00,1.00,0.00,0.00,2.00,6.00,0.00,10.00,0.00,0.00,1.00,8.00,0.00,1.00,0.00,7.00,6.00,3.00,0.00,0.00,0.00,3.00,3.00,3.00,0.00,1.00,0.00,4.00,1.00,2.00,1.00,0.00,0.00,32.00,19.00,46.00,3.00,13.00,2.00
Mineral del Monte,12.00,1.00,4.00,0.00,0.00,0.00,12.00,1.00,1.00,0.00,2.00,3.00,6.00,2.00,1.00,0.00,1.00,7.00,11.00,2.00,1.00,0.00,0.00,4.00,7.00,2.00,0.00,0.00,0.00,1.00,15.00,1.00,0.00,0.00,0.00,0.00,5.00,3.00,2.00,0.00,0.00,0.00,6.00,2.00,0.00,0.00,0.00,0.00,74.00,14.00,9.00,0.00,3.00,15.00
Mixquiahuala de Juárez,2.00,4.00,5.00,6.00,0.00,0.00,6.00,1.00,7.00,0.00,3.00,2.00,4.00,0.00,5.00,0.00,1.00,7.00,3.00,5.00,2.00,0.00,8.00,0.00,2.00,2.00,5.00,0.00,1.00,0.00,2.00,3.00,11.00,0.00,0.00,0.00,0.00,2.00,6.00,0.00,2.00,0.00,5.00,1.00,2.00,0.00,0.00,0.00,24.00,18.00,43.00,6.00,15.00,9.00
Molango de Escamilla,5.00,2.00,4.00,6.00,0.00,0.00,8.00,3.00,6.00,1.00,1.00,0.00,2.00,1.00,13.00,0.00,1.00,0.00,5.00,2.00,3.00,0.00,8.00,0.00,5.00,2.00,2.00,0.00,1.00,0.00,3.00,4.00,9.00,0.00,0.00,0.00,1.00,4.00,3.00,0.00,2.00,0.00,4.00,1.00,1.00,2.00,0.00,0.00,33.00,19.00,41.00,9.00,13.00,0.00
Nicolás Flores,8.00,6.00,3.00,0.00,0.00,0.00,14.00,0.00,3.00,0.00,0.00,2.00,5.00,3.00,2.00,0.00,0.00,7.00,9.00,6.00,3.00,0.00,0.00,0.00,3.00,2.00,5.00,0.00,0.00,0.00,8.00,3.00,5.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00,6.00,0.00,2.00,0.00,0.00,0.00,58.00,20.00,28.00,0.00,0.00,9.00
Nopala de Villagrán,8.00,2.00,2.00,5.00,0.00,0.00,4.00,4.00,5.00,1.00,5.00,0.00,5.00,1.00,3.00,0.00,1.00,7.00,4.00,7.00,2.00,0.00,5.00,0.00,3.00,2.00,4.00,0.00,1.00,0.00,12.00,3.00,1.00,0.00,0.00,0.00,5.00,2.00,1.00,0.00,2.00,0.00,3.00,1.00,4.00,0.00,0.00,0.00,44.00,22.00,22.00,6.00,14.00,7.00
Omitlán de Juárez,7.00,2.00,8.00,0.00,0.00,0.00,5.00,1.00,10.00,1.00,0.00,2.00,3.00,4.00,9.00,0.00,1.00,0.00,8.00,5.00,3.00,0.00,2.00,0.00,1.00,4.00,4.00,0.00,1.00,0.00,8.00,7.00,1.00,0.00,0.00,0.00,2.00,4.00,2.00,0.00,2.00,0.00,3.00,3.00,2.00,0.00,0.00,0.00,37.00,30.00,39.00,1.00,6.00,2.00
Pachuca de Soto,12.00,2.00,3.00,0.00,0.00,0.00,13.00,0.00,3.00,0.00,0.00,3.00,15.00,2.00,0.00,0.00,0.00,0.00,8.00,3.00,0.00,0.00,1.00,6.00,7.00,2.00,0.00,0.00,0.00,1.00,14.00,2.00,0.00,0.00,0.00,0.00,8.00,2.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,85.00,13.00,6.00,0.00,1.00,10.00
